ABV;IBU;Rating;BrandAwareness;Style_ale;Style_lager;Style_hybrid
6.9;;78.8;8304;1;0;0
11.0;69,0;89.2;4724;1;0;0
6.1;45,0;73.8;6861;1;0;0
6.6;;78.3;944;1;0;0
5.0;;85.4;9933;1;0;0
6.6;;72.0;74;0;1;0
6.4;;82.3;9344;1;0;0
5.2;;77.2;4639;1;0;0
5.7;;75.4;4491;1;0;0
4.8;35,0;71.7;166343;0;1;0
4.0;12,0;63.4;18444;1;0;0
5.4;20,0;73.9;4490;1;0;0
6.9;;89.5;6458;1;0;0
8.0;70,0;79.9;10584;1;0;0
8.3;80,0;76.1;12700;1;0;0
5.5;;77.7;18746;0;1;0
4.0;65,0;68.2;29418;1;0;0
8.0;;72.7;6923;1;0;0
6.1;;74.6;1957;0;1;0
4.9;14,0;70.2;6796;0;0;1
4.0;32,0;72.4;52864;0;1;0
10.4;50,0;77.9;5742;1;0;0
7.5;50,0;66.8;9443;1;0;0
6.5;;73.7;26517;1;0;0
7.0;;87.9;19471;1;0;0
8.8;56,0;82.2;657;0;1;0
7.0;5,0;68.1;1850;1;0;0
3.9;;52.5;6539;0;1;0
6.8;28,0;73.8;4350;1;0;0
5.0;28,0;70.7;6081;1;0;0
12.0;98,0;80.0;41563;1;0;0
10.2;75,0;67.8;7616;1;0;0
14.1;;104.2;6463;1;0;0
6.0;42,0;73.5;17247;1;0;0
5.1;22,0;69.3;8203;0;0;1
5.1;7,0;61.3;16550;0;0;1
5.1;;68.2;971;1;0;0
10.0;100,0;80.3;24377;1;0;0
6.0;;69.1;3020;1;0;0
7.0;;73.3;4507;1;0;0
7.8;;73.0;6857;1;0;0
7.3;85,0;72.9;8022;1;0;0
4.2;;86.3;4019;1;0;0
6.4;36,0;65.2;8210;1;0;0
4.5;33,0;62.9;9432;0;1;0
6.7;;79.8;2610;0;0;0
4.7;35,0;67.1;73985;1;0;0
5.6;;62.1;101;0;1;0
4.5;50,0;71.6;9308;1;0;0
7.5;35,0;72.8;12860;1;0;0
5.6;;72.3;1871;1;0;0
4.5;60,0;71.4;2987;0;1;0
7.0;80,0;69.6;78915;1;0;0
6.0;;76.8;5233;1;0;0
5.3;30,0;74.6;218;1;0;0
4.9;18,0;62.3;15940;0;1;0
4.9;14,0;60.2;37962;1;0;0
8.5;20,0;68.2;25455;0;0;1
12.5;22,0;79.9;17765;1;0;0
4.9;;66.4;5347;0;1;0
9.39;;70.8;5104;1;0;0
4.9;20,0;69.2;31696;0;1;0
7.0;;75.4;16428;1;0;0
6.3;76,0;69.9;13785;1;0;0
6.0;;64.8;1945;0;1;0
5.5;37,0;73.2;12213;1;0;0
7.3;;;14702;1;0;0
7.0;50,0;83.3;32177;1;0;0
8.5;;89.7;7712;1;0;0
6.9;;75.7;4191;1;0;0
10.0;70,0;89.4;134783;1;0;0
12.0;;74.2;110;0;1;0
5.4;23,0;75.5;14899;0;0;1
11.2;;85.2;730;1;0;0
8.5;50,0;76.8;185189;1;0;0
11.5;40,0;88.4;8339;1;0;0
7.1;;85.3;1993;1;0;0
12.0;;88.0;5451;1;0;0
10.0;70,0;71.6;4048;1;0;0
8.0;;68.6;10128;1;0;0
5.8;8,0;64.1;78418;1;0;0
8.0;;75.5;743;1;0;0
6.1;45,0;65.5;47132;1;0;0
5.5;;79.8;62834;1;0;0
6.5;25,0;81.6;40498;1;0;0
6.1;63,0;76.5;10529;1;0;0
10.0;15,0;76.1;40101;0;0;1
4.75;;73.7;3581;1;0;0
4.2;12,0;63.4;10878;1;0;0
5.0;62,0;65.0;11389;1;0;0
7.0;;77.8;5392;1;0;0
4.1;45,0;79.4;16556;1;0;0
8.5;45,0;82.3;5232;1;0;0
5.8;25,0;71.4;24749;0;1;0
11.0;;78.5;2286;1;0;0
4.6;;69.2;9624;1;0;0
8.8;70,0;73.3;2114;1;0;0
5.0;;;15480;1;0;0
3.5;6,0;75.3;2561;1;0;0
6.7;42,0;73.0;7826;1;0;0
5.0;;72.1;938;1;0;0
9.0;275,0;84.0;2433;1;0;0
8.6;;67.4;2864;1;0;0
5.0;;50.5;39494;0;1;0
6.6;76,0;73.5;14437;1;0;0
8.4;;79.0;2957;1;0;0
6.7;65,0;64.4;26063;1;0;0
8.9;85,0;85.1;4102;1;0;0
6.5;;74.7;3052;0;1;0
7.2;75,0;76.5;50791;1;0;0
5.75;;73.1;3108;1;0;0
8.0;65,0;79.6;19426;1;0;0
8.5;45,0;72.4;2001;1;0;0
10.0;100,0;65.3;6927;1;0;0
10.5;;85.0;1052;1;0;0
9.0;35,0;71.3;4089;1;0;0
11.5;;76.8;343;1;0;0
7.3;;81.3;5565;1;0;0
7.3;;84.9;6314;1;0;0
5.0;28,0;74.3;2819;1;0;0
5.8;44,0;60.6;85549;1;0;0
8.5;26,0;80.1;4010;1;0;0
5.0;;58.3;3394;1;0;0
3.2;;70.0;1296;1;0;0
8.0;15,0;95.4;14144;1;0;0
6.5;50,0;70.4;9237;1;0;0
6.0;20,0;80.1;4251;1;0;0
8.0;50,0;80.5;3901;1;0;0
8.0;44,0;77.5;13894;1;0;0
5.0;;60.8;67767;0;0;1
8.5;;71.9;34450;1;0;0
7.2;;74.3;48641;1;0;0
6.3;18,0;75.1;13935;1;0;0
5.3;48,0;66.7;3989;1;0;0
12.1;;84.2;9689;1;0;0
7.1;65,0;70.5;15398;1;0;0
8.5;;56.9;581;1;0;0
6.5;67,0;82.6;12416;1;0;0
7.1;;83.1;5304;1;0;0
5.4;30,0;64.1;10091;1;0;0
8.0;75,0;68.2;16836;1;0;0
5.0;;55.8;48087;0;1;0
5.0;;67.9;305;0;1;0
5.4;;82.1;3124;1;0;0
9.1;;72.1;15060;1;0;0
6.5;;79.1;7094;1;0;0
5.0;;;13;1;0;0
5.1;;88.5;274;1;0;0
5.0;;87.3;11139;1;0;0
4.5;20,0;72.9;5751;1;0;0
5.7;40,0;81.3;58152;1;0;0
10.5;70,0;78.5;6528;1;0;0
11.9;90,0;84.8;14860;1;0;0
10.7;41,0;75.0;6024;1;0;0
7.0;;77.6;2407;1;0;0
7.0;;73.5;2477;1;0;0
8.2;25,0;69.6;25167;1;0;0
6.5;;75.8;4547;1;0;0
4.8;;78.6;35658;1;0;0
4.9;;73.3;5556;1;0;0
4.5;;76.1;4463;0;0;1
5.1;;63.5;12121;1;0;0
9.5;71,0;78.1;5325;1;0;0
7.0;;67.7;47;1;0;0
5.7;91,0;77.8;11561;1;0;0
5.5;41,0;69.7;9207;1;0;0
5.2;;74.4;206;1;0;0
7.5;40,0;73.3;13265;1;0;0
5.5;32,0;71.0;2210;1;0;0
5.2;;59.3;29774;1;0;0
4.8;25,0;61.7;6755;1;0;0
17.2;100,0;86.6;8102;1;0;0
